trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
310,False,"{'a': 0.002, 'e': 0.539021403076357}",25,5,-178.8557750222033,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",1
311,False,"{'a': 0.002, 'e': 0.5379444375946745}",25,0,-3.1373698915969612,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
312,False,"{'a': 0.002, 'e': 0.5368696238914595}",25,0,-102.24297979975998,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
313,False,"{'a': 0.002, 'e': 0.535796957667456}",30,0,-111.47720170251537,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 3}",0
314,False,"{'a': 0.002, 'e': 0.5347264346319975}",25,15,-51.689075672775836,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
315,False,"{'a': 0.002, 'e': 0.5336580505029906}",20,6,-34.3686772843868,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
316,False,"{'a': 0.002, 'e': 0.5325918010068972}",20,0,-34.40195306730974,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
317,False,"{'a': 0.002, 'e': 0.5315276818787179}",25,7,-4.857176994957592,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
318,False,"{'a': 0.002, 'e': 0.5304656888619749}",20,0,-0.1783812355352492,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
319,False,"{'a': 0.002, 'e': 0.5294058177086945}",30,3,-14.217773707008924,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 0}",1
320,False,"{'a': 0.002, 'e': 0.528348064179391}",20,9,5.735949977610454,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
321,False,"{'a': 0.002, 'e': 0.5272924240430485}",25,0,-28.34804881684071,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
322,False,"{'a': 0.002, 'e': 0.5262388930771054}",30,0,-86.23546814158816,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
323,False,"{'a': 0.002, 'e': 0.5251874670674361}",35,17,-33.74400818107665,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
324,False,"{'a': 0.002, 'e': 0.5241381418083354}",20,9,-8.153366686276524,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
325,False,"{'a': 0.002, 'e': 0.5230909131025008}",25,9,-22.895302645718004,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
326,False,"{'a': 0.002, 'e': 0.522045776761016}",20,6,14.075702235251844,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
327,False,"{'a': 0.002, 'e': 0.5210027286033344}",20,2,-2.6036144289297285,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
